;Unnamed: 0;tconst;primaryTitle;originalTitle;startYear;endYear;runtimeMinutes;numVotes;label;genre
87;887;tt0054743;The Children's Hour;The Children's Hour;1961;0;108;15863.0;TRUE;Drama, Romance
88;889;tt0054749;Two Women;;1960;0;101;10542.0;TRUE;Drama, War
89;891;tt0054847;El Cid;El Cid;1961;0;182;13801.0;TRUE;Biography, Drama, History
90;893;tt0054949;War of the Buttons;;1962;0;90;2543.0;TRUE;Comedy, Family
91;894;tt0054997;The Hustler;The Hustler;1961;0;134;79893.0;TRUE;Drama, Sport
92;921;tt0055747;Love at Twenty;;1962;0;120;2298.0;TRUE;Drama, Romance
93;933;tt0055998;Freud;Freud;\N;1962;140;2755.0;TRUE;Biography, Drama
94;937;tt0056058;Hara-Kiri;;1962;0;133;50633.0;TRUE;Action, Drama, Mystery
95;946;tt0056197;The Longest Day;The Longest Day;1962;0;178;;TRUE;Action, Drama, History
96;952;tt0056327;Pale Flower;;1964;0;96;3520.0;TRUE;Action, Crime
97;955;tt0056415;Ring ớf Térrớr;Ring of Terror;1961;0;71;;FALSE;Drama, Horror
98;967;tt0056930;A Child Is Waiting;;\N;1963;102;2842.0;TRUE;Drama
99;1018;tt0058275;Lemonade Joe;;1964;0;95;2738.0;TRUE;Adventure, Comedy, Musical
100;1029;tt0058458;The Soft Skin;La peau douce;1964;0;113;7415.0;TRUE;Drama, Romance
101;1053;tt0059199;Fránkénstéin Mééts thé Spácémớnstér;;1965;0;79;1578.0;FALSE;Horror, Sci-Fi
102;1054;tt0059205;Frankenstein vs. Baragon;Furankenshutain tai chitei kaijû Baragon;1965;0;90;2083.0;FALSE;Horror, Sci-Fi, Thriller
103;1061;tt0059377;Lady L;;1965;0;117;1104.0;FALSE;Comedy
104;1063;tt0059417;The Holy Man;Mahapurush;1965;0;65;1338.0;TRUE;Comedy
105;1065;tt0059496;The Nanny;The Nanny;1965;0;91;5995.0;TRUE;Mystery, Thriller
106;1070;tt0059578;Fớr á Féw Dớllárs Mớré;Per qualche dollaro in più;1965;0;132;246060.0;TRUE;Western
107;1075;tt0059715;Stớry ớf á Prớstitúté;;1965;0;96;1377.0;TRUE;Drama, Romance, War
108;1078;tt0059812;Thé Cớrpớrál ánd Ớthérs;;1965;0;111;2345.0;TRUE;Comedy, War
109;1091;tt0060188;The Brides of Fu Manchu;The Brides of Fu Manchu;1966;0;94;1233.0;FALSE;Adventure, Crime
110;1097;tt0060457;The Ghost in the Invisible Bikini;;1966;0;82;1191.0;FALSE;Comedy, Horror, Musical
111;1100;tt0060543;Intimate Lighting;Intimní osvetlení;1965;0;71;1443.0;TRUE;Comedy, Drama, Music
112;1101;tt0060545;I Knew Her Well;;1965;0;115;2475.0;TRUE;Drama
113;1104;tt0060584;Kidnapping, Caucasian Style;Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika;\N;1967;82;11650.0;TRUE;Adventure, Comedy, Drama
114;1131;tt0061407;The Taming of The Shrew;;1967;0;122;;TRUE;Comedy, Drama, Romance
115;1133;tt0061452;Casino Royale;Casino Royale;1967;0;131;29230.0;FALSE;Comedy
116;1134;tt0061456;Catalina Caper;Catalina Caper;1967;0;84;2046.0;FALSE;Comedy, Musical, Mystery
117;1159;tt0061796;Hurry Sundown;Hurry Sundown;1967;0;146;1202.0;FALSE;Drama
118;1167;tt0062006;The Mummy's Shroud;The Mummy's Shroud;1967;0;90;2005.0;FALSE;Horror
119;1171;tt0062138;Point Blank;Point Blank;1967;0;92;20251.0;TRUE;Crime, Drama, Thriller
120;1176;tt0062235;Thé Tớrtúré Chámbér ớf Dr. Sádism;;1967;0;84;1779.0;FALSE;Horror, Mystery
121;1192;tt0062776;Candy;;1968;0;124;3082.0;FALSE;Adventure, Comedy, Fantasy
122;1194;tt0062844;Cústér ớf thé Wést;;1967;0;140;1420.0;FALSE;Biography, Drama, History
123;1195;tt0062898;Doctor Faustus;;1967;0;93;1072.0;FALSE;Drama, Horror, Mystery
124;1209;tt0063218;Signs of Life;;1968;0;90;2116.0;TRUE;Drama
125;1215;tt0063371;A Report on the Party and Guests;;1966;0;71;1540.0;TRUE;Comedy, Drama
126;1222;tt0063501;The Big Gundown;;1966;0;110;5988.0;TRUE;Western
127;1240;tt0064147;Jackal of Nahueltoro;El Chacal de Nahueltoro;\N;1969;95;1009.0;TRUE;Biography, Crime, Drama
128;1247;tt0064338;The Castle of Fu Manchu;;\N;1969;92;2080.0;FALSE;Adventure, Crime, Horror
129;1248;tt0064356;The Cow;Gaav;1969;0;104;6921.0;TRUE;Drama
130;1251;tt0064393;The Green Slime;;1968;0;90;3534.0;FALSE;Drama, Horror, Sci-Fi
131;1264;tt0064866;Burn!;Queimada;1969;0;132;5065.0;TRUE;Action, Drama, War
132;1272;tt0065168;Thé Núdé Vámpiré;;1970;0;90;;FALSE;Horror
133;1273;tt0065180;Viimne reliikvia;;1969;0;86;;TRUE;Adventure, History, Romance
134;1278;tt0065416;Aradhana;;1969;0;169;1808.0;TRUE;Drama, Musical, Romance
135;1284;tt0065528;Catch-22;Catch-22;1970;0;122;24567.0;TRUE;Comedy, Drama, War
136;1299;tt0065988;Little Big Man;Little Big Man;1970;0;139;34408.0;TRUE;Adventure, Comedy, Drama
137;1304;tt0066154;No Blade of Grass;No Blade of Grass;1970;0;96;1729.0;FALSE;Drama, Sci-Fi
138;1326;tt0066728;The Million Dollar Duck;The Million Dollar Duck;1971;0;89;2271.0;FALSE;Comedy, Family, Sci-Fi
139;1340;tt0066919;Lulu the Tool;;1971;0;125;3247.0;TRUE;Drama
140;1344;tt0066982;Demons of the Mind;;\N;1972;89;1530.0;FALSE;Horror, Thriller
141;1350;tt0067123;Gamera vs. Zigra;;1971;0;87;;FALSE;Action, Adventure, Family
142;1359;tt0067372;Macbeth;;1971;0;140;13354.0;TRUE;Drama, History
143;1393;tt0068240;Avanti!;;1972;0;144;10122.0;TRUE;Comedy, Romance
144;1394;tt0068257;Bawarchi;Bawarchi;1972;0;130;3936.0;TRUE;Comedy, Musical, Drama
145;1404;tt0068379;Ciao Manhattan;Ciao Manhattan;1972;0;84;1074.0;FALSE;Biography, Drama, Romance
146;1413;tt0068646;Thé Gớdfáthér;;1972;0;175;1725806.0;TRUE;Crime, Drama
147;1424;tt0068902;The Italian Connection;La mala ordina;1972;0;95;2250.0;TRUE;Action, Crime, Thriller
148;1464;tt0070061;Love & Anarchy;;1973;0;124;2892.0;TRUE;Comedy, Drama, Romance
149;1470;tt0070215;My Name Is Nobody;;1973;0;116;26147.0;TRUE;Comedy, Western
150;1484;tt0070537;Pigs;Daddy's Deadly Darling;1973;0;80;1230.0;FALSE;Horror
151;1496;tt0070842;Turkish Delight;;\N;1973;108;10696.0;TRUE;Drama, Romance
152;1541;tt0072820;Cooley High;;\N;1975;107;4623.0;TRUE;Comedy, Drama, Romance
153;1543;tt0072869;The Devil's Rain;;1975;0;86;4036.0;FALSE;Horror
154;1557;tt0073043;The Giant Spider Invasion;;1975;0;84;4115.0;FALSE;Horror, Sci-Fi
155;1560;tt0073155;That Most Important Thing: Love;L'important c'est d'aimer;1975;0;109;3769.0;TRUE;Drama, Romance
156;1576;tt0073679;Special Section;;1975;0;118;1254.0;TRUE;Drama, History, Thriller
157;1586;tt0074252;Ugly, Dirty and Bad;;1976;0;115;8222.0;TRUE;Comedy, Drama
158;1588;tt0074286;Carry on England;Carry on England;\N;1976;89;1957.0;FALSE;Comedy, War
159;1604;tt0074554;The Front;The Front;1976;0;95;;TRUE;Drama
160;1609;tt0074599;Gús;;1976;0;96;1852.0;FALSE;Comedy, Family, Sport
161;1625;tt0074921;Most;Most;1969;0;105;1086.0;TRUE;Action, War
162;1664;tt0076155;The Man Who Loved Women;L'homme qui aimait les femmes;1977;0;120;6660.0;TRUE;Comedy, Drama, Romance
163;1671;tt0076312;Love Letters of a Portuguese Nun;;1977;0;89;1089.0;FALSE;Drama, Adventure, Horror
164;1700;tt0077292;Crippled Avengers;Can que;1978;0;104;2395.0;TRUE;Action, Drama
165;1714;tt0077660;Harper Valley P.T.A.;;1978;0;93;1098.0;FALSE;Comedy
166;1720;tt0077745;Invasion of the Body Snatchers;;1978;0;115;57581.0;TRUE;Horror, Sci-Fi
167;1731;tt0078326;Straight Time;;1978;0;114;8440.0;TRUE;Crime, Drama
168;1734;tt0078418;Trishul;Trishul;1978;0;167;2202.0;TRUE;Action, Drama, Musical
169;1735;tt0078435;Message from Space;Uchu kara no messeji;1978;0;105;1370.0;FALSE;Action, Adventure, Sci-Fi
170;1744;tt0078778;Ángéls' Brigádé;;1979;0;97;1939.0;FALSE;Action, Comedy
171;1767;tt0079450;Thé Légácy;The Legacy;1978;0;102;2877.0;FALSE;Horror
172;1785;tt0079944;Stalker;;1979;0;162;128082.0;TRUE;Drama, Sci-Fi
173;1798;tt0080439;The Taming of the Scoundrel;Il bisbetico domato;1980;0;107;7780.0;TRUE;Comedy, Romance
174;1800;tt0080486;Devil Hunter;El caníbal;\N;1980;102;1347.0;FALSE;Horror
175;1806;tt0080610;The Last Metro;;1980;0;131;13637.0;TRUE;
176;1807;tt0080623;Hálf á Lớáf ớf Kúng Fú;;1978;0;97;1809.0;FALSE;
177;1813;tt0080905;Fists of the White Lotus;Hong Wending san po bai lian jiao;1980;0;95;1593.0;TRUE;
178;1817;tt0080979;Kagemusha;;1980;0;180;34545.0;TRUE;
179;1822;tt0081250;The Night of the Hunted;La nuit des traquées;1980;0;87;1608.0;FALSE;
180;1827;tt0081427;Ricomincio da tre;Ricomincio da tre;1981;0;110;;TRUE;
181;1840;tt0082094;The Boogens;;1981;0;95;2610.0;FALSE;
182;1855;tt0082350;An Eye for an Eye;An Eye for an Eye;1981;0;106;3840.0;FALSE;
183;1904;tt0083254;Under the Rainbow;Under the Rainbow;1981;0;98;2704.0;FALSE;
184;1906;tt0083271;Vabank;Vabank;1981;0;108;4238.0;TRUE;
185;1908;tt0083296;Visiting Hours;Visiting Hours;1982;0;105;4095.0;FALSE;
186;1928;tt0083922;Fanny and Alexander;;1982;0;188;61602.0;TRUE;
187;1950;tt0084504;The Pirate Movie;The Pirate Movie;\N;1982;105;4323.0;FALSE;
188;1960;tt0084652;The Seduction;The Seduction;\N;1982;104;1163.0;FALSE;
189;1982;tt0085180;L'Argent;;1983;0;85;9418.0;TRUE;
190;1988;tt0085327;Who Finds a Friend Finds a Treasure;Chi trova un amico trova un tesoro;1981;0;108;11165.0;TRUE;
191;1994;tt0085387;D.C. Cáb;D.C. Cab;1983;0;100;;FALSE;
192;1999;tt0085478;Educating Rita;Educating Rita;1983;0;110;13621.0;TRUE;
193;2033;tt0086197;The Right Stuff;The Right Stuff;1983;0;193;59903.0;TRUE;
194;2043;tt0086345;Space Raiders;Space Raiders;1983;0;84;;FALSE;
195;2045;tt0086349;Spasms;;1983;0;90;1085.0;FALSE;
196;2071;tt0086978;Blind Date;Blind Date;\N;1984;106;1908.0;FALSE;
197;2075;tt0086998;Breakin';;1984;0;90;6248.0;FALSE;
198;2085;tt0087328;The Home and the World;Ghare-Baire;1984;0;140;;TRUE;
199;2090;tt0087425;Hot Dog... The Movie;Hot Dog ...The Movie;1983;0;96;3368.0;FALSE;
200;2104;tt0087798;Night Train to Terror;Night Train to Terror;1985;0;98;;FALSE;
201;2116;tt0088074;Secret Honor;Secret Honor;1984;0;90;2934.0;TRUE;
202;2128;tt0088333;Up the Creek;;1984;0;96;3449.0;FALSE;
203;2136;tt0088763;Báck tớ thé Fútúré;Back to the Future;1985;0;116;1127305.0;TRUE;
204;2143;tt0088939;The Color Purple;The Color Purple;1985;0;154;83143.0;TRUE;
205;2160;tt0089371;Mr. Vampire;Geung see sin sang;1985;0;96;3835.0;TRUE;
206;2181;tt0089800;The Feather Fairy;;1985;0;90;1153.0;TRUE;
207;2208;tt0090660;Armed and Dangerous;;\N;1986;88;11241.0;FALSE;
208;2226;tt0091149;Thé Gréát Mớúsé Détéctivé;;1986;0;74;47842.0;TRUE;
209;2254;tt0091671;From a Whisper to a Scream;;1987;0;99;2353.0;FALSE;
210;2255;tt0091706;Out of Bounds;Out of Bounds;1986;0;93;1576.0;FALSE;
211;2257;tt0091777;Police Academy 3: Back in Training;Police Academy 3: Back in Training;1986;0;83;44440.0;FALSE;
212;2288;tt0092608;Back to the Beach;;1987;0;92;2918.0;FALSE;
213;2293;tt0092695;The Brave Little Toaster;The Brave Little Toaster;1987;0;90;24998.0;TRUE;
214;2327;tt0093223;House of Games;House of Games;1987;0;102;21895.0;TRUE;
215;2336;tt0093431;The Lonely Passion of Judith Hearne;The Lonely Passion of Judith Hearne;1987;0;116;1036.0;TRUE;
216;2355;tt0093870;RoboCop;RoboCop;1987;0;102;246467.0;TRUE;
217;2357;tt0093966;The Sicilian;;1987;0;115;4931.0;FALSE;
218;2363;tt0094021;Thé Sqúéézé;;1987;0;101;1161.0;FALSE;
219;2364;tt0094027;Stand and Deliver;;1988;0;103;19598.0;TRUE;
220;2388;tt0094701;Bad Dreams;;\N;1988;80;3816.0;FALSE;
221;2398;tt0094846;Cásúál Séx?;;1988;0;97;4004.0;FALSE;
222;2399;tt0094850;Cellar Dweller;;\N;1987;77;2319.0;FALSE;
223;2413;tt0095238;The Good Mother;;1988;0;104;1667.0;FALSE;
224;2417;tt0095276;Hanussen;;1988;0;140;1701.0;TRUE;
225;2434;tt0095665;Mr. North;Mr. North;1988;0;93;1442.0;FALSE;
226;2437;tt0095715;Alice;Neco z Alenky;\N;1988;86;12391.0;TRUE;
227;2438;tt0095756;Not of This Earth;Not of This Earth;1988;0;81;2420.0;FALSE;
228;2460;tt0096241;The Telephone;The Telephone;1988;0;96;1021.0;FALSE;
229;2471;tt0096786;Alienator;;1990;0;93;1569.0;FALSE;
230;2474;tt0096894;Bashu, the Little Stranger;;1989;0;120;2759.0;TRUE;
231;2475;tt0096908;A City of Sadness;Beiqing chengshi;1989;0;157;4622.0;TRUE;
232;2486;tt0097257;Earth Girls Are Easy;;1988;0;100;22758.0;FALSE;
233;2497;tt0097503;Hider in the House;Hider in the House;1989;0;108;1581.0;FALSE;
234;2507;tt0097636;The Jönsson Gang in Mallorca;Jönssonligan på Mallorca;1989;0;101;3527.0;FALSE;
235;2517;tt0097870;Forever Mary;;1989;0;102;1059.0;TRUE;
236;2524;tt0098022;Old Gringo;Old Gringo;1989;0;119;;FALSE;
237;2551;tt0098649;Wickéd Stépmớthér;Wicked Stepmother;1989;0;90;2122.0;FALSE;
238;2558;tt0099172;Brácá pớ mátéri;Braca po materi;1988;0;105;1181.0;TRUE;
239;2570;tt0099492;The Tenants;;1987;0;109;2244.0;TRUE;
240;2584;tt0099810;The Hunt for Red October;The Hunt for Red October;1990;0;135;190578.0;TRUE;
241;2605;tt0100339;Patlabor: The Movie;;1989;0;100;4892.0;TRUE;
242;2608;tt0100470;Journey of Hope;Reise der Hoffnung;1990;0;105;2039.0;TRUE;
243;2609;tt0100475;Répớssésséd;;1990;0;80;8604.0;FALSE;
244;2623;tt0101256;976-Evil II;;1991;0;93;1687.0;FALSE;
245;2633;tt0101492;Body Parts;Body Parts;1991;0;88;4326.0;FALSE;
246;2636;tt0101526;Children of Nature;;1991;0;82;1470.0;TRUE;
247;2641;tt0101649;Thalapathi;;1991;0;157;;TRUE;
248;2645;tt0101701;Delirious;Delirious;1991;0;96;8363.0;FALSE;
249;2664;tt0102351;Lucky Luke;;1991;0;92;3887.0;FALSE;
250;2689;tt0103016;Switch;;\N;1991;103;;FALSE;
251;2703;tt0103773;Basket Case 3;Basket Case 3;1991;0;90;;FALSE;
252;2706;tt0103848;Blue Ice;;1992;0;105;1618.0;FALSE;
253;2718;tt0104046;Daens;;\N;1992;138;4077.0;TRUE;
254;2727;tt0104409;Hellraiser III: Hell on Earth;Hellraiser III: Hell on Earth;1992;0;97;29637.0;FALSE;
255;2739;tt0104759;Thé Lớst Wớrld;The Lost World;1992;0;99;1154.0;FALSE;
256;2747;tt0104870;Mikey;Mikey;1992;0;92;2593.0;FALSE;
257;2765;tt0105395;Shootfighter: Fight to the Death;Shootfighter: Fight to the Death;1993;0;100;1193.0;FALSE;
258;2767;tt0105477;Stop! Or My Mom Will Shoot;Stop! Or My Mom Will Shoot;1992;0;87;41385.0;FALSE;
259;2779;tt0105792;Waxwork II: Lost in Time;Waxwork II: Lost in Time;1992;0;104;4405.0;FALSE;
260;2780;tt0105807;Whén thé Párty's Ớvér;When the Party's Over;1992;0;114;1054.0;FALSE;
261;2784;tt0106185;The Innocent;The Innocent;1993;0;119;1559.0;FALSE;
262;2821;tt0107156;The Wedding Banquet;;1993;0;106;14993.0;TRUE;
263;2837;tt0107611;Mr. Jones;Mr. Jones;1993;0;114;7139.0;FALSE;
264;2849;tt0107927;The Real McCoy;The Real McCoy;1993;0;105;8871.0;FALSE;
265;2858;tt0108186;Son in Law;;\N;1993;95;19663.0;FALSE;
266;2860;tt0108194;Sose halunk meg;;1993;0;95;1783.0;TRUE;
267;2887;tt0109277;Sailor Moon S: The Movie - Hearts in Ice;;1994;0;60;1959.0;TRUE;
268;2895;tt0109443;Clean Slate;Clean Slate;1994;0;107;3873.0;FALSE;
269;2920;tt0109958;He's a Woman, She's a Man;Gam chi yuk yip;1994;0;107;1052.0;TRUE;
270;2940;tt0110280;Révớlútiớnáry;Krantiveer;1994;0;159;2032.0;TRUE;
271;2947;tt0110361;Lisbon Story;Lisbon Story;1994;0;100;4833.0;TRUE;
272;2965;tt0110882;Before the Rain;;1994;0;113;14587.0;TRUE;
273;2974;tt0111161;The Shawshank Redemption;The Shawshank Redemption;1994;0;142;2503641.0;TRUE;
274;2991;tt0112342;The Amazing Panda Adventure;;1995;0;84;4089.0;FALSE;
275;3010;tt0112634;Carnosaur 2;Carnosaur 2;1995;0;83;2048.0;FALSE;
276;3016;tt0112767;Cyclo;;1995;0;123;4995.0;TRUE;
277;3023;tt0113049;Fermo posta Tinto Brass;;1995;0;81;1517.0;FALSE;
278;3024;tt0113063;The Final Cut;;\N;1995;96;;FALSE;
279;3034;tt0113443;It's My Party;;1996;0;110;2998.0;TRUE;
280;3044;tt0113674;Live Nude Girls;;1995;0;95;1841.0;FALSE;
281;3052;tt0113808;Miami Rhapsody;Miami Rhapsody;1995;0;95;3309.0;FALSE;
282;3056;tt0113845;Money Train;Money Train;1995;0;110;40354.0;FALSE;
283;3059;tt0113870;Murder in the First;;1995;0;122;27861.0;TRUE;
284;3068;tt0114193;Prớjéct: Métálbéást;;\N;1995;92;;FALSE;
285;3074;tt0114429;Shirli-myrli;Shirli-myrli;1995;0;143;;TRUE;
